CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
77,S,M,Z,GER,C,13.12.2014,Cadet Circuit,Cadet Circuit,Individual,1094.xml
554,F,M,,ESP,B,13.12.2014,FMU-in,U2 European Terrassa FMU-in,Individual,1095.xml
78,S,F,Z,GER,C,13.12.2014,Cadet Circuit,Cadet Circuit,Team,1096.xml
562,E,F,I,HUN,S,20.12.2014,EFS-in,EG Baku Qualification Tournament Women Epee,Individual,1097.xml
561,S,M,,HUN,S,20.12.2014,SMS-in,EG Baku Qualification Tournament Men's Sabre individual,Individual,1099.xml
738,E,F,I,GER,S,16.07.2010,,Championnats d'Europe,Individual,11.xml
82,F,F,,ITA,C,14.01.2011,FFC-in,FF,Individual,110.xml
560,F,M,,HUN,S,20.12.2014,FMS-in,EG Baku Qualification Tournament Men's Foil individual,Individual,1100.xml
559,E,M,,HUN,S,20.12.2014,EMS-in,EG Baku Qualification Tournament Men's Epee individual,Individual,1101.xml
563,F,F,I,HUN,S,20.12.2014,FFS-in,EG Baku Qualification Tournament Women Foil,Individual,1102.xml
564,S,F,I,HUN,S,20.12.2014,SFS-in,EG Baku Qualification Tournament Women Sabre,Individual,1103.xml
542,F,M,,ITA,C,03.01.2015,FMC-in,Cadet Circuit,Individual,1104.xml
543,F,F,,ITA,C,03.01.2015,FFC-in,Cadet Circuit,Individual,1105.xml
505,F,F,,POL,,03.01.2015,FFU-in,U23 European Circuit,Individual,1106.xml
504,F,M,,POL,A,03.01.2015,FMU-in,U23 European Circuit,Individual,1108.xml
523,E,M,,POL,C,10.01.2015,Cadet Circuit,Cadet Circuit,Individual,1109.xml
83,F,M,,ITA,C,14.01.2011,FMC-in,FM,Individual,111.xml
524,E,F,,POL,C,11.01.2015,Cadet Circuit,Cadet Circuit,Individual,1110.xml
461,E,M,Z,GER,U23,10.01.2015,U23 European Circuit Weisser Baer,U23 European Circuit Weisser Baer,Individual,1113.xml
541,S,F,,AUT,C,17.01.2015,SFC-in,ECC SF 2015,Individual,1114.xml
540,S,M,,AUT,C,17.01.2015,SMC-in,ECC SM,Individual,1115.xml
86,S,F,,ISL,C,15.01.2011,European Cadet Circuit WS,European Cadet Circuit,Individual,112.xml
457,S,F,L,HUN,S,17.01.2015,SFU-in,U23 European Circuit - Women's Sabre - Vasas SC - Budapest,Individual,1120.xml
456,S,M,L,HUN,S,17.01.2015,SMU-in,U23 European Circuit Men's Sabre Budapest,Individual,1121.xml
496,F,F,,POL,C,24.01.2015,Cadet Circuit,Cadet Circuit,Individual,1122.xml
565,F,M,Z,GER,U,24.01.2015,U23 European Circuit,U23 European Circuit,Individual,1123.xml
94,E,F,,SVK,C,24.01.2015,EFC-in,Cadet Circuit EFC-in,Individual,1125.xml
491,F,M,,SVK,C,24.01.2015,FMC-in,Cadet Circuit FMC-in,Individual,1126.xml
514,F,F,,POL,C,25.01.2015,Cadet Circuit,Cadet Circuit,Team,1127.xml
95,E,M,,SVK,C,24.01.2015,EMC-in,Cadet Circuit EMC-in,Individual,1128.xml
548,F,M,I,SVK,C,24.01.2015,FMC-eq,Cadet Circuit FMC-eq,Team,1129.xml
87,S,M,I,ISL,C,15.01.2011,European Cadet Circuit MS,European Cadet Circuit,Individual,113.xml
551,F,M,I,HUN,S,31.01.2015,150131-FFT,U23 European Circuit Foil Men,Individual,1131.xml
71,E,M,I,FIN,C,31.01.2015,EMC-in,"Cadet Circuit, Men's Epee",Individual,1132.xml
70,E,F,I,FIN,C,31.01.2015,EFC-in,"Cadet Circuit, Women's Epee",Individual,1133.xml
90,S,F,,GBR,C,31.01.2015,WS,Women's Cadet Sabre,Individual,1134.xml
91,S,M,,GBR,C,31.01.2015,MS,Men's Cadet Sabre,Individual,1135.xml
